,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_hidden_layer_sizes,param_max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,33.3726047039032,1.6992621947876452,0.05945262908935547,0.004010273166751085,0.0001,"(50,)",200,"{'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'max_iter': 200}",0.9769831950842988,0.9741181412981569,0.9696213356144517,0.9730766065484856,0.9697117740811222,0.9727022105253031,0.002789493196731162,34,0.9783307580655892,0.9786622045260983,0.9793342268729476,0.9785846516357951,0.9790207636396256,0.9787865209480111,0.0003517888616061066
1,52.62895703315735,9.896859193193118,0.08938360214233398,0.05738137249843749,0.0001,"(50,)",500,"{'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'max_iter': 500}",0.9772617353509072,0.9746955768476925,0.9699993334823553,0.9734803393104798,0.9699795633866322,0.9730833096756133,0.002805723766732138,26,0.9791230513976311,0.9788534925952228,0.9800227806785361,0.9790093855613718,0.9796070543901932,0.9793231529245909,0.00043108014117024246
2,55.465210390090945,7.582612468992471,0.0620302677154541,0.004288093587291541,0.0001,"(50,)",1000,"{'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'max_iter': 1000}",0.9772617353509072,0.9746955768476925,0.9699993334823553,0.9734803393104798,0.9699795633866322,0.9730833096756133,0.002805723766732138,26,0.9791230513976311,0.9788534925952228,0.9800227806785361,0.9790093855613718,0.9796070543901932,0.9793231529245909,0.00043108014117024246
3,50.46009120941162,3.098482693617923,0.08326506614685059,0.011618731267479074,0.0001,"(100,)",200,"{'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'max_iter': 200}",0.9780277691146184,0.9757666674298856,0.9706276248224549,0.973920397054739,0.9703514367357552,0.9737387790314906,0.002956150224084054,15,0.9811546364217985,0.9815438810164815,0.982321493930117,0.9815879209007355,0.9815955053582054,0.9816406875254675,0.0003778730689255001
4,78.39037046432495,4.77978484795226,0.06655569076538086,0.005437489173579727,0.0001,"(100,)",500,"{'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'max_iter': 500}",0.9778175205287339,0.9755879697821143,0.9706691013123272,0.9739232440270313,0.9705719220477153,0.9737139515395844,0.0028120628869763905,18,0.9819605696660119,0.982463216198596,0.9827845923146276,0.9822351700417351,0.9824171259236281,0.9823721348289197,0.0002715092736057068
5,78.21843838691711,9.206371207188127,0.06786274909973145,0.01253356702529582,0.0001,"(100,)",1000,"{'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'max_iter': 1000}",0.9778175205287339,0.9755879697821143,0.9706691013123272,0.9739232440270313,0.9705719220477153,0.9737139515395844,0.0028120628869763905,18,0.9819605696660119,0.982463216198596,0.9827845923146276,0.9822351700417351,0.9824171259236281,0.9823721348289197,0.0002715092736057068
6,59.27131366729736,3.4626008328843905,0.07436985969543457,0.00818144336986903,0.0001,"(50, 50)",200,"{'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'max_iter': 200}",0.9774010435442396,0.9751723965399243,0.9712958325749282,0.9744254715978818,0.9706289110629436,0.9737847310639834,0.0025126756825161346,13,0.9831853221687299,0.9834975642392636,0.9843310503369229,0.9835586504327202,0.9832140403268215,0.9835573255008916,0.0004143560004641386
7,96.24714889526368,13.541296547845878,0.07910828590393067,0.02324866311574793,0.0001,"(50, 50)",500,"{'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'max_iter': 500}",0.9775211395176444,0.9756544423975241,0.971374762040274,0.973970736240537,0.970120789052021,0.9737283738496,0.0027095279150900547,16,0.9841544492642561,0.9841740096298408,0.9855706458047788,0.9845568069671435,0.9840559206037987,0.9845023664539635,0.0005607785682111899
8,96.73999075889587,10.478220305315864,0.07673335075378418,0.02104456087063771,0.0001,"(50, 50)",1000,"{'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'max_iter': 1000}",0.9775211395176444,0.9756544423975241,0.971374762040274,0.973970736240537,0.970120789052021,0.9737283738496,0.0027095279150900547,16,0.9841544492642561,0.9841740096298408,0.9855706458047788,0.9845568069671435,0.9840559206037987,0.9845023664539635,0.0005607785682111899
9,74.04274230003357,2.9787849014219527,0.0873072624206543,0.006101564860032957,0.0001,"(100, 50)",200,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'max_iter': 200}",0.9781670868464809,0.9756356029368974,0.9713437637199461,0.9749052954859591,0.9714166155972322,0.9742936729173032,0.0026137183056462276,2,0.9856590636503787,0.9857834272664334,0.9866832145422223,0.9859047335250638,0.9860936813850825,0.9860248240738361,0.00035908054363060436
10,125.3425961971283,24.058583731866733,0.06982245445251464,0.008899872853973676,0.0001,"(100, 50)",500,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'max_iter': 500}",0.9762754208821002,0.9746029091735069,0.9696638752266881,0.97461498562375,0.9696898708562556,0.9729694123524603,0.0027563702134797293,30,0.9872651185043378,0.9873887439360368,0.9886980859923706,0.9859718355006917,0.9874103686255237,0.9873468305117921,0.0008635940404536469
